;text;target
63;nie wiedziec jeszcze jak byc z zaliczeen u pani doktor janickie bo dopiero co zaczynac u on kurs ale pierwszy wrazenie pozytywny;2
64;ocena neutralny nie byc zle;3
65;fizykac h fizyk h wyklad elektronik air suchy haslo i definicja to tak ale fizyka to szczerze watpie na h egzamin na h kolokwium wygladac identycznie;3
66;na poczatek wyklad nawet ciekawy ale w polowo zaczynac sie robic nie do zniesc;3
67;gosc niby wydawac sie byc okolo ale humor miec fajny jak dla ja tlumaczy tez calk spoko ale zadanie na kolo brac z kosmos u ja w grupa zaliczyc kilka osoba a byc my chyba ogolnie odradzac jesli kots miec wybor;3
68;na kolokwi zadanie nie byc najtrudniejsac ale do prosty tez nie nalezac;3
69;program moc sie nie kompilowac ale jezeli byc dobry kod to zaliczyc;2
70;wejsciowka sie zdazac ale nie zdazyc sie zeby ktos za on wywalic z laborka jezeli wiedziec z nic nie napisac es to przygotowac sie na pytanie z wejsciowka w czas kiedy on on bedzie sprawdzac bo to byc bardzo brac pod uwage niz sam wejsciowka;3
71;na wejscowka starczac instrukcja ale trzeba on przeczytac;3
72;rohleder Krzysztof doc fizykac i wyklad i cwiczenia b swietny gosc powinien zostacc dziekan;2
73;mozny odkladac pisac kartkowka w nieskonczonosc ale warto napisac chociaz jeden z blad dobrze i raz z jakis cwiczenie dobrze sie przygotowac i ladnie zdac to wplywac na wyzsza ocene koncowy;3
74;ogolnie polecac dla ten ktorzy nie chca miec problemow z zaliczeen przedmiot;2
75;z inny zrodlo slyszec em ze nie byc zly;2
76;pan Merdas posiadac niestety tylko tytul mgr;3
77;lubic konczyc sporo przed czas jak wiekszosc osoba sie uwic w godzine laborka miec godzinka to pogania ten ktory jeszcze nie skonczyc czas daruc on pomiar ale w sprawk on wymagac heh;3
78;tlumaczy szybkopisze niedbale na tablica czas nie mozny bylo sie doczytacale ogolnie polecamnie byc zlezero stres na cwiczenio d a nawet poprawa humor gwarantowany d;3
79;z hacz y;1
80;wszystko byc jasny prosty i klarowny czesto zdradzac jaki zadanie znajda sie na kolokwium a juz na pewno podac dokladc typ;2
81;doktor magierac naleza do czlowiek ktory bardzo sie nudzic i dla rozrywka utrudniac zycie inny;1
82;dostajesz zadanie ktory czesco byc robiyc na cwiczenia i musiec zrobic;2
83;wyluzowac koles wyklad nudnawy mowic czesto za cicho czas zaczynac pisac na tablica taki rzecz ze mozna odleciec ale zaliczenie w miara latwy;3
84;w zaleznoscic na jaki grupe trafic taki miec szansa na zaliczec on;1
85;bardzo polecac;2
86;wiekszosc moj rok Musial sie meczyc z ekonom na sesja gdy byly inny znacznie wazniejsze kurs do zaliczec;1
87;ewentualnie jak komus na termin zabraknac troszke to moze dopytac;2
88;chciec nauczyc nie przepisowac ocen nawet jak wy powiedziec ze od;3
89;ogolnie jak bardzo sie zapisywac d;2
90;co do kolokwiow to niestety prawda;1
91;kurs mechanik ogolna projekt pan szota raczej nie robic problem z zaliczeen;2
92;jezec kogos nie intersowac human to mozna nawet spac byle nie chrapac;2
93;drugi kolo podobny trudnosc jak pierwszy;3
94;powyzszac opinia dotyczyc analiza bo wyklad z algebry byc ostatni w sroda i pod koniec listopad sam rozumiet;3
95;kurs chemia analityczny moj zdanie pani doktor nie potrafic tlumaczyc w porownanie z inny prowadzacy;1
96;bardzo fajny kontakt z student;2
97;w semestr byc dwa kolokwia i prezentacja na poziom b kraj niemieckojezyczny a na b e moj miasto;0
98;wyklad nie byc prowadzic najgorzej;2
99;pan tyc byc jak to ktos tutaj juz napisac specyficzny osoba i gdyby nie to ze przepisac ja ocene z laboratorium przez co nie musiec em pisac test na wyklada to dac by metr najgorsza ocenka;3
100;wykladowca sam proponowac i pozycz ksiazka na podstawa ktory pisac sie wypracowac;2
101;doktor kornel byc bardzo oryginalny postac;3
102;jezyk programowanie laborka ocena polecac b prawie wszytsko powiedziec tu to prawda byc wymagajacy trzeba u on sporo sam kombinowac i wykorzystywac wiadomosciec z wyklad i laborek program pisac na zajecia sprawdzac bardzo skrupulatnie robic kartkowka zadanie bodajze i minuta w styl napi s;3
103;ja bez wielki wysilek dostac em tylko za to ze na poczatek semestr oddac em kilka rysunek malowany recznie wygladac profesjonalnie a tak naprawde nie miec wiele wspolny z to jak powinien wygladac wink;2
104;zaliczec bez problem;2
105;co do poczucie humor to tez nie pamietac zeby jakos on okazywal;1
106;calka to on konik byc chyba trudniejy calk i serac f;1
107;trzeba wiedziec dokladnie co sie robic teoria bardzo wnikliwie sprawdzac na kazdy zajecia kto nie wiedziec ten wylatywac sprawka sprawdzac rownie wnikliwie duzo zwrot ale bez jakis szalony wymaganie po prosty potrzebny kompletny i bardzo konkretny sprawko wcale nie oszczedzac dobry ocena jesli ktos dobrze siebie radzic z sprawka i miec ogolny pojecie o fizyka dostac dobry ocena bez zaden stres niepotrzebny drugi strona medal jak ktos radzic siebie slabo to albo zaczac siebie radzic dobrze albo koniec z on wymaganie byc niezmienny i nie miec zlitowac;3
108;zreszta u on byc dobry niz u inny ktor zy niwiel nauczyc;2
109;analiza wyklada nie polecac b ja sie ten pan srednio podobal;1
110;na i termin zdac okolo osoba na;1
111;ale jesli chciec porobic zadanek sam w domek to polecac;3
112;fizykac h loboratorium elektronik air no na laborka to akurat nie miec co uczyc ale tlumaczyc nie potrafic mota sie nie pamietac co zrobic w jaki cwiczyc kartkowka w duzy stopien sprawozdanie ogolny wizerunek student bardzo rozny ale banalny z podstawa albo z cos co w ogol nie miec w instrukcja oj raczej brak starac sie byc mily;3
113;kazdy probowke z reakcja ktory wykonac es trzeba byc zaniesc pani doktor i jak stwierdzic ze byc dobrze to odfajkowac ty w zeszyt zadanko z byc okolo;3
114;tyle komplement a zeczywistosc bywac szokujacy kolokwia sa stanowczo zatrudny poniewaz tresc zadanie wykraczac swoj trudnoscie poza skrypt;1
115;kurs analiza wyklad ocena moc byc wyklad prowadzic byc bardzo szybko pan doktor potrafic przepisywac caly definicja z skrypt rozpatrywac wiele typ zadanie ktory sie pt przydadzic na kolokwi;3
116;jak chodzic o naciagac ocena byc to raczej nimozliwy poniewaz punkt z kolokwiow mowic wszysko twisted a kolokwia oceniac kilka osoba wink;1
117;dlaczego i kto polecac nie polecac pani tereski;3
118;  jezyk programowania laboratorium dawac r ada jesl i chciec c;3
119;i gdzie tu logik w ten rok byc z on prawdziwy problem i gdyby nie doktor kotowski to marny by byc moj nie tylko los gdyz po kolokwium i poprawka zaliczyc okolo osoba po interwencja kot i dodatkowy termin juza znacznie wiecej;1
120;radoy;0
121;tylko nie mozna spac i trzeba uwazac;3
122;wyklad prowadzic byc w niewielki sala wiec spac sie nie dac ale jak sie dobrze usiasc to mozny zrobic jakis zadanie albo poczytac gazeta;3
123;jesli uczyc es sie to na powaznie to zaliczyc;3
124;i mimo ze byc z lo to chyba jako jedyny z potok i nadawac byc na on fala c;2
125;bak polecac kiepski ksiazka;1
126;nudny mozna nie chodzic nie sprawdzac obecnosc teoretycznie na koniec kolo mozna robic jednak badac w internet zdolnosc patentowy wybrac przedmiot zajmowac to od do godzina im wczesnie sie oddac tym dobrze;3
127;kolejnosc odwrotny byc mozliwy tylko wtedy gdy przyniesiemy usprawiedliwic nieobecnosci;3
128;robic powtorek na ktory tez mozna zarobic kilka plus;2
129;algebry z geometria analityczny w analiza matematyczny w a wiec tak;0
130;polecac szczegolnie plci piekny bo taki uczyc doktor ryczko uwielbiac;3
131;dla ja laboratorium z ten kobieta byc najwieksza udrekac;1
132;z drugi strona jesli ktos nigdy nie miec kontakt z programowaen to musiec sie przylozyc bo nie zaliczyc;1
133;dla niektory pewnie ciekawy cecha bedzie to z bardzo latwo mozny sie on podlizac;3
134;pan troche zakrecony miec swoj swiat ale podejscie do student ok czas miec tylko dziwny zart;3
135;jesli nie miec zaliczony on dzial to juz nie miec szansa chociaz na koniec pozwalac poprawiac;1
136;nastawienie do student jak bardzo pozytywny;2
137;facet znac sie na rzecz w dodatek swietny z on wykladowca;2
138;zaliczec wyklad taki siebie pierwszy test wielokrotny wybor byc trudny do zaliczec za dobry odpowiedz punkt za bledny;1
139;nie koniecznie taki trudny ale specyficzny;3
140;ostry rozciaganie;3
141;zawsze byc w zly humor i lubic sie wydzierac;1
142;byc to osoba bardzo sympatyczny;2
143;borkowski burnecka lub;0
144;trudny z gwiazdka wiec mozna sie duzo wiecej nauczyc;2
145;calk niezla;2
146;naprawde zalatwic wpis od on byc gorsze niz caly sesja dzien siedziec em na polibuda niemal od rano do wieczor;1
147;kolo masakryczny nie wiadomo byc co pisac tak naprawde wiec pisac sie cokolwiek i o dziwo czas zaliczac na pierwszy zajecia przyjsc dopiero po miesiac i zdarzac on sie nie przychodzic na wyklad ale oczywiscie material caly obowiazywac;1
148;byc to duzy ulatwienie bo proeg punktowy na poszczegolny ocena sie nie zmieniac a moc dostac punkt wiecej;2
149;ogolnie ekstra;2
150;ale jesli zdar sie wiecej to mozna on odrobic na konsultacj;3
151;kurs mechanik czlowiek o on mowic ze to postre;1
152;normalny kolo egzamin to bieg sprinterski pytanie okolo sekunda na napisac rozwiazac i juz nastepny;1
153;ogolnie oki przyjazna dla student miec ogromny zasob wiedza ktory chciec przekazac ale widac ze za dlugo siedziec w ten matma wink;3
154;ocena wystawiac z srednie i SA roznorodny nawet isc zagadac zeby podniosla;2
155;forma zaliczec obecnosc prowadzic rozgrzewka nieobecnosc trzeba odrabiac w ten sam tydzien albo wczesnie;0
156;miec em z ten pan samoobrona;0
157;mial z pan doktor inf wyklad na eit mgr;0
158;nie oplacac sie siedziec na ten wyklada tym bardzo jesli byc on z sam rano dobrze sie wyspac;1
159;on atut byc to z dobrze wykladac;2
160;i przez to wyslac ja na poprawka;1
161;na koniec wystarczyc w odpowiedni termin oddac praca na jeden z podac przez on temat lub na jakis inny dowolny zwiazac z wyklad;2
162;czas naciagac gdy brakuj punkt;2
163;chyba tyle;3
164;ogolnie bardzo fajny human do odklepac a jak ktos sie chciec cos jeszcze nauczyc to myslec ze wyniesc calkiem sporo z wyklad;2
165;pan balik byc dziwny i nie probowac z on rozmawiac;1
166;moc zmienic temat wyklad jesli Sala zaproponowac cos inny;2
167;lekki balagan na sala;1
168;za wszystek lub jeden brak byc za kazdy nastepna ocena w dol;0
169;ale ogolnie sprawiedliwy czlowiek;2
170;czepiac sie zaokraglen liczba radzic sie nauczyc co to byc cyfra znaczacy;1
171;pani Kinga to bardzo mila osoba;2
172;ale gdy przerzucic sie skrypt nie powinien byc probklemow wink pozaty babka niezla tylko czepiac sie czytac gazeta na yklad i m z student maj pry i;3
173;calk sympatyczny pan;2
174;uwaga dobrze sie przylozyc do zadanie projektowy poniewaz kazdy poprawa zadanie obnizac ocena co wplywac na koncowy zaliczec;3
175;wiec chyba warto sie troche pomeczyc ale nie miec zaden odrobka;3
176;sadza z ocene frekfencja bywalnosci dra arkadiusz na cwiczenio o byc trochy przesadzc w g mny wynosic ponizy;1
177;doktor zdzislaw ilski kurs mysl polityczny b naprawde przyjemny prowadzaca;2
178;gdy zapisywalac sie wf nie mialam pojecia co to za prowadzak;0
179;niezly jajcarz z ten pan nie znac osoba ktora u on nie zaliczylac cal masa terminow kolokwiow egzaminow rekordzista zaliczyl w termin sesja przez ten pan moze sie przedluzyc ale byc bardzo niz pewien z zaliczyc;3
180;choc trzeba powiedziec z ten kobieta potrafic zmusic do myslec choc dobrze on wychodzic wprowadzac w depresja;3
181;miec swietny poczucie humor lubic past w;3
182;bardzo polecac;2
183;bezproblemowy zaliczec;2
184;na punkt dodatnie raczej by metr nie liczyc szybko na ujemny;1
185;algebry liniowa z geometria analityczny ocena moze byc b no racja pani lila byc originalny;2
186;inzynierskiy ocena napisac by metr zeby unikac jak ogien ale zazwyczaj nie miec nawet taki mozliwosc;1
187;na egzamin byc latwo bo kto inny ukladac zadanie;3
188;dzik Malgorzata mgr inz;0
189;problem byc tylko zlapanie pan profesor bo cierpiec on na chroniczny brak czas dla studentow ale nie bedziecie zalowac przyjemny wyklada i krotki kola egzamina pan sr e;3
190;cwiczenie prowadzic byc w mily atmosfera co wazny calosc tlumaczony byc bardzo dokladnie i przed wszystko jasno zaliczec przedmiot byc dwa kolokwia wydzialowy wiec nie sposob ocenica jaki zadanie dawac by pani doktor;2
191;dodatkowy plus mozna zdobyc wystepuc na forum oraz wyglaszawac swoj opinia na zadany temat;3
192;zajecia wygladaj tak ze dzielic na para i kazac z sobac gadac na zadany temat czas zrobic cos z ksiazka;0
193;czlowiek sympatyczny zakrecic;2
194;wyklad byc pisac na tablica troche niedbale ale czy byc sens przepisywac skoro all byc w skrypt wink ogolnie bardzo przyjazny student prowadzic;2
195;fizykac h wyklad nie polecac choc podobno do przejscie b niestety nie polecac oblalac ja kilka raz choc nawet w urodziny tez oblal eh niezbyt przyjemny wyklada z slajdow dostepny w internet wykuc i ujsc zdac;3
196;nie wyobrazac siebie zeby ktokolwiek moc dobrze wytlumaczyc tak trudny material;2
197;kurs niemiecki a e bdb b kobitka byc niesamowic sympatyczny;2
198;zwykle brac wszystko jak leciec nie pytac nie robic kartkowko i ogolnie pelny luz;2
199;doktor hab inz;0
200;nie byc prowadzic specjalnie zostawiac siebie student na poprawka;2
201;pan pawel potrafic wytlumaczyc potrafic tez wymagac w czas semestr byc kartkowka i praca domowy zeby zaliczyc kartkowke trzeba przyniesc praca domowy iloczyn punktacja pr dom i kartkowka musiec byc co malo punktacja od do;3
202;wtedy wszystek tekst nastawic na przestraszanie studentow odnoszac dobry skutek a to byc zle;1
203;uwazac ze mozna sie zapisac na ciekawy humac;1
204;ps ale dobry byc on sweterka bijac wszystko;3
205;usmiechac sie rzadko ale za to usmiech miec niezwykly d ubrac w dzins koszula i sportowy but sprawialba wrazenie ogolnie przyjemny gdyby nie ten kamienny twarz robil kartkowka co bodajz drugi zajecie ktory byly o umiarkowany stopien trudnosci;3
206;zadac dyscyplina na wyklada;3
207;kazdy starac sie wylumaczyc i jak robic przyklad to czesto bardzo kosmiczny ale dziek temu pokazywac ze matematyka to nie automatyk ze trzeba myslec;2
208;i to on zadawac dziwny pytanie przy oddawac protokol chyba nikt nie wiedziec o co on chodzic ale ogolnie wiekszosc dostac wiec tak zle nie byc wink;3
209;na koniec przy wpis bierzesz swoj zeszyt on zadawac ty pytanko o jakis doswaidczec z laborka typ co sie tam dziac i dla co jak powiedziec to dostajec ocena wyrz kazdy mowic bo kazdy wszystko po ten laborka pamietac;2
210;ogolnie polecac;2
211;na jeden zajecia pokazywac my swoj zdjecie z wakacje;2
212;obecnosc obowiazkowy;0
213;jak ty zalezec tylko na zaliczenie to na zdrowy rozum wystarczyc napisac pierwszy kolo na max i olac przedmiot nie byc najlatwiejsze ale przewidywalny podobny do zadanie robiony na zajecia;3
214;moj rada unikac ten pan jak ogien;1
215;naukowiec i nauczyciel z czysty pasja;2
216;chociaz to moze dlatego bo i tak nie byc chemika to byc kurs dla student fizyka;3
217;fizykac i i ii egzamin z caly semestr duzo material ale dawac zagadnienie ktore powtarzajac sie na egzamin co nie zmieniac fakt z oceniac srogo nadal nie doszedl co po napisac wszystko na pytan dostal rowno minimum na ale zdarzaj sie i dobry ocena;3
218;przyklad z moj kolo napisac em lim lim u u lim lim lim lim wynik i za przeoczec limes w zapis z punkt za zadanie zrobic sie jeden mimo poprawny wynik;1
219;ksiazka do kurs oczywiscie pawac c;0
220;jednak chciec tutaj podkreslic ze byc to znikoma czesc;1
221;ocena wazic analiza matematyczny i na wydzial mechaniczno energetyczny cwiczenie semestr w zrozumialy;2
222;minus nie stawiac chyba ze sam wyrwie do odpowiedz na przyklad za przeszkadzan;3
223;trzeba sie na on nauczyc podstawowy wzor;3
224;kolo bez zaden niespodzianka wiadomo co trzeba umiec;2
225;nie polecac dla ten ambitniejszy natomiast faktycznie jesli ktos isc po najm lina opor to polecac;3
226;naprawde polecac mozny duzo z ten zajec wyniesc;2
227;polecac jeszcze raz;2
228;klakociar ciepacz magdalena doktor fizyk ocena b Jesli ktos lubic skikac do tablica to polecac ten pania byc pkt fizyk i punkt fizykac za podejst do tablica jesli jednak ktos oczekiwac zrozumialy wytlumaczenie i nie udzielac sie na zajecie to stanowczo odradzac na zajecie byc tak z jesli nikt sie nie zglaszac to byc ciiiiiszy i moze on trwac bbbb dlugo bo pani doktor uwaza z to student maj rozw zadanie a nie on kolokwiac SA czas trudny jak ktos nie umiec kombinowac z wzor to bedzie on ciezko u ten pani nigdy nie wiadomo co sie spodziewac trzeba pamietac wszytskei wzorek zmieniac by bylo przejzysci opinie na podstawa kurs fizyk fizykac na wydzial chemiczny sposob prowadzic zajecia podchodzic do tablica i robic zadanek tylko chetni czy potrafic nauczyc nie podstawa ocena w indeks zaliczec kolokwi aktyw niespodziewajka brak calkowity poczucie humor pani doktor byc usmiechniet osobka ogolny podejscie do student przyjazny ale ocen nie naciagac nawet o punkt;3
229;boze do dzisiaj dziwnie sie czuc kiedy przypominac siebie system zadan kolokwialny pater wpadac na zajec na ktory mial byc sprawdzian po co rzucac hasl;1
230;w zasada wciaz powtarzac ten sam temat;1
231;ustny to pogadanka typ opow i;0
232;wystarczyc on zrozumiec i przejrzec skrypt;2
233;nie wiedziec z co mozna miec tu problem;0
234;zajecie prowadzic na bardzo wysoki poziom;2
235;jezeli chodzic o ja to miec em lab z jagielnicki i szczerze to bardzo podobac ja sie zajecia z pani frankiewicz;2
236;tak jak wczesnie kolega wspomniec mozna zdobyc dodatkowy punkt za ktory dzwigac ocena;2
237;z moj grupa zaliczyc wszyscy i to raczej na lub;2
238;spaczec dostac em do ten pan po egzamin podstawowy kiedy to w jeden zadanie na sam koniec w wynik zamiast byc i dac ja za caly zadanie punkt;1
239;tak tup;3
240;z zaliczeen problem brak jak umiec cokolwiek;2
241;pani dopiero zaczynac wtedy uczyc i tak wlasciwie nie wiedziec jaki swoj wizerunek miec wykreowac;1
242;po kilka tydzien profesor skonczyc zastepstwo wiec nie wiedziec czy on spokojny podejscie i sposob ocena wynikac z to ze taki byc czy z to ze byc to zastepstwo;3
243;pani barbara na pewno dobrze wyloza sprawa dobrze opowiedziec i kazdy wiedziec;2
244;dosc sennie na wyklad;1
245;poza to starac sie uczyc tak by czlowiek na poszczegolny wydzialach sie to przydac;2
246;z zaliczeen problemow nie bylo miec ale naprawde nie polecac;3
247;sporo zadan jaki pojawialo sie na kolokwia bylo zawartch w lista zadan dostepny na strona doktor dudek;2
248;sprawozdanie w zwracac najczascie za pierdola;1
249;odpowiesz nie odpowiedziec;2
250;wyklad cwiczenie prowadzic bardzo precyzyjnie i konkretnie choc na wyklad generalnie byc to przepisywanie skrypt pan doktor pokazywac czas ciekawy i przydatny przy zaliczec sztuczka;3
251;poczucie humor z pewnosc pan miec na poziom b ocena wystawic bardzo dobry nauczyc to moze za wiele nie nauczyc;3
252;sniady egzamin;0
253;informatyka laborki ocena ok pan bogdan to bardzo kulturalny wyrozumialy i przyjazny student czlowiek;2
254;na kolo trzeba przerobic skrypt choc nie caly;0
255;fakt duzo pytac mecz zwlaszcza dziewczyna ale potem to plusowac na kolo wystarczyc uczyc sie jeden nocke i byc okolo;3
256;informatyka ocena polecac b jeden z dobry moj zdanie laborantow od programowania;2
257;osobiscie polecac chociaz w kol zdalo tylko osob;3
258;kurs fizyk i ocena spoko b nowak to nowak gosc wygladac jak ropuch ale byc git;3
259;mozna rowniez pisac kolokwi w inny termin na konsultacja polecac b;2
260;warto chodzic na konsultacja z konkretny pytani do konkretny zadanie;3
261;bardzo fajny kobitka ale czas miec problem z znajdowac problem w kod tp wtedy wolac tyca a podchodzic i odraz wiedziec co byc nie tak z zaliczeen nie robic duzy problem;3
262;w ciag semestr byc sprawdzac obecnosc do raz uwaga moze sie tak zdarzyc ze po kolokwium koncowy koncowy zostac jeszcze jedny zajec i wtedy tez sprawdzic obecnosc takze radze sie pilnowac pod ten wzgled bo to potem sie liczyc do ocena koncowy;3
263;kurs przyrzada polprzewodnikowy laborka ocena jak bardzo polecac zajecie byly bezstresowy na wejsciowka obowiazywal material tylko z wstep teoretyczny do dany cwiczec radze zwrocic uwage na wszystek wzor i wykres z ten wstepow bo czasewm pytac dotyczyly zdawaloby sie malowazny rzecz;2
264;robic kartkowka co cwiczec sprawka mozna robic w grupa osobowy dobrze oddawac sprawozdanie w pierwszy termnie a juz dobrze jako pierwszy wtedy ocena byc dobry;3
265;trzeba sie na on skupic i nie popelniac prosty blad;3
266;kolokwiac bywac trudny ale byc z zrobiony juz material nic nowy nie trzeba odkrywac zawsze mozna w jakis sposob poprawic;3
267;zostawiac materialy na punkt ksero z ktory niby miec korzystac;0
268;dziwak i tyle;1
269;naprawde mozna siebie pograc ale pod warunek ze grac sie dluzy niz do punkt;3
270;radzic sie zapisac do ktos inny;1
271;jak miec okazje ten koniecznie sie do on zapisywac;2
272;potrafic w ten sposob sprawdzic czy ktos na pala wyryl material czy moze jednak wiedziec o co pisac ps jak to dobrze meic za sob fizyke;3
273;na przedostatni zajecei robic test spra w;0
274;naszczesc na zadanie dac z skrypt i jezeli ktos sie uczyc to napisac na drugi kolo to juz wylaczc on tworczosc wiec byc maly pogr;3
275;ja miec pozytywny zdanie o profesor;2
276;informatyka i wyklad ocen do bac pan paluszynski ogolnie nie dawac rada monotonnie prowadzic wyklad czytac przygotowac przez siebie pdfa ktoy zawierac blad mimo ze co rok byc poprawiac porazka;1
277;kurs chemia ogolny wyklad koles dziwny nie lubic spoznialski za to dawac ujemny punkt i straszy on z on dolicz do prog zaliczeniowy kurs choc nigdy to nie robic;3
278;pani troche stary data wiec miec okreslic juz zasada ktory sie trzymac;3
279;mysle ze byc to dobry wybor na rr;2
